"nav-link","listing-location","currency","price","bed","bath","listing-floorarea","listing-floorarea 2","hidden-sm href 2","hidden-sm 2"
"Bekasi Timur-15 Menit dari Pintu Toll Bekasi Timur","Jl.caringin 2, Bekasi Timur, Bekasi, Jawa Barat","Rp","750 jt","3","2","70 m²","Rp 8.823.529 per m²","",""
"New Exclusive Cluster Release Dilan Residence 3 Setu, Bekasi","Cimuning, Setu, Bekasi Timur, Bekasi, Bekasi, Bekasi, Jawa Barat","","350","2","1","40 m²","Rp 5 per m²","",""
"Dilan Residence 3","Cinyosog, Cimuning, Setu, Bekasi, Jawa Barat, Setu, Bekasi, Jawa Barat","","425","2","1","40 m²","Rp 6 per m²","",""
"Dilan Residence 3. Rumah Eksklusif di Bekasi Timur","Cinyosog, Burangkeng, Setu, Bekasi Timur, Bekasi, Bekasi Timur, Bekasi, Jawa Barat","","425","2","1","40 m²","Rp 6 per m²","",""
"Dilan Residence 3","Bekasi, Bekasi, Bekasi, Jawa Barat","Rp","350 jt","2","1","40 m²","Rp 5.000.000 per m²","",""
"Rumah Minimalis di Green Park Residence Bekasi Bebas Banjir Harga All In Kpr","Pondokmelati, Bekasi, Jawa Barat","Rp","1,75 M","3","2","80 m²","Rp 24.305.556 per m²","",""
"Cluster Palm Summarecon bekasi","Palm, Summarecon Bekasi, Bekasi, Jawa Barat","Rp","68 jt","3","3","108 m²","Rp 571.429 per m²","",""
"Di Jual Rumah Mewah 2 Lantai Lokasi Duta Bumi, Harapan Indah. Bekasi 003","Jl. Duta Bumi Raya No. 2, Harapan Indah, Bekasi, Jawa Barat","Rp","925 jt","3","3","80 m²","Rp 10.277.778 per m²","",""
"Rumah baru 2 lantai murah strategis Deket pintu tol di kodau jati mekar bekasi","Kodau, Jati Waringin, Bekasi, Jawa Barat","Rp","1,15 M","3","2","98 m²","Rp 11.165.049 per m²","",""
"Grand permata residence","Jalan sriamur tambun Utara, Bekasi Utara, Bekasi, Jawa Barat","Rp","168 jt","2","1","29 m²","Rp 2.800.000 per m²","",""
"Dijual rumah Griya Harapan Permai, Harapan indah","HARAPAN INDAH, Harapan Indah, Bekasi, Jawa Barat","Rp","1,7 M","4","3","125 m²","Rp 11.333.333 per m²","",""
"DiJual Rumah dan Ruko Bekas Alfamidi di Pilar Cikarang","Jl Ki Hajar dewantara, Bekasi Utara, Bekasi, Jawa Barat","Rp","8,7 M","3","2","456 m²","Rp 14.500.000 per m²","",""
"Rumah Dijual Di Tambun Selatan Dalam Cluster Full Renovasi","Cluster Taman Raya, Mangun Jaya, Tambun Selatan, Bekasi, Jawa Barat","Rp","400 jt","2","1","45 m²","Rp 6.666.667 per m²","",""
"Rumah 2 Lantai Siap Huni","Jl. Wibawa Mukti 2, Jatiasih, Bekasi, Jatiasih, Bekasi, Jawa Barat","Rp","820 jt","3","2","79 m²","Rp 11.549.296 per m²","",""
"Dijual cepat rumah siap huni posisi  hoek di cluster segara city, tarumajaya, Bekasi","Tarumajaya, Bekasi, Jawa Barat","Rp","1,2 M","3","2","150 m²","Rp 6.818.182 per m²","",""
"Taman Harapan Baru Bekasi","taman harapan baru bekasi, Taman Harapan Baru, Bekasi, Jawa Barat","Rp","1,95 M","5","2","122 m²","Rp 10.955.056 per m²","",""
"Kota Harapan Indah Cluster Aralia","Jl. Bekasi Raya, Medan Satria, Bekasi, Medan Satria, Bekasi, Jawa Barat","Rp","1,05 M","3","2","100 m²","Rp 9.375.000 per m²","",""
"Dijual rumah nyaman Asri di Cluster Arana, Harapan Indah, Bekasi bebas banjir","Harapan Indah, Bekasi, Jawa Barat","Rp","3 M","4","4","147 m²","Rp 15.000.000 per m²","",""
"Di Jual Rumah siap huni dan cantik di Pondok Indah, Bekasi","Pondok Indah Jatisari, Jatiasih, Bekasi, Jati Sari, Bekasi, Jawa Barat","Rp","6,8 M","6","9","1400 m²","Rp 9.714.286 per m²","",""
"Dijual Rumah Srimaya Residence Summarecon Bisa KPR","Bantargebang, Bekasi, Jawa Barat","Rp","499 jt","2","1","30 m²","Rp 8.316.667 per m²","",""
"Dijual Rumah Mall Grand Galaxy Park Jalan Villa Jakasetia Galaxy Tol Jakasampurna  Tol Bekasi Barat","Galaxy, Bekasi, Jawa Barat","Rp","1,55 M","3","3","156 m²","Rp 13.135.593 per m²","",""
"Cluster Pagar Hijau Jatiasih","Jatiasih, Bekasi, Jawa Barat","Rp","810 jt","2","1","45 m²","Rp 6.923.077 per m²","",""
"Harapan Indah",". Jl Bekasi Raya, Medan Satria, Bekasi, Medan Satria, Bekasi, Jawa Barat","Rp","445 jt","2","1","36 m²","Rp 7.416.667 per m²","",""
"Harapan Indah",". Jl Bekasi Raya, Medan Satria, Bekasi, Medan Satria, Bekasi, Jawa Barat","Rp","675 jt","3","2","72 m²","Rp 11.250.000 per m²","",""
"Rumah 2 Lantai Hoek Siap Huni","Jl Kusuma Barat Duren Jaya, Bekasi Timur, Bekasi, Jawa Barat","Rp","1,5 M","5","4","180 m²","Rp 10.000.000 per m²","",""
"Cibubur","Jl. Cileungsi Setu Bekasi, Cibubur Cileungsi Setu, Setu, Bekasi, Jawa Barat","Rp","400 jt","2","1","45 m²","Rp 5.333.333 per m²","",""
"Summarecon Crown Gading","Boulevard, Harapan Indah, Bekasi, Jawa Barat","Rp","952 jt","2","2","50 m²","Rp 17.309.091 per m²","",""
