"ui-organisms-card-r123-featured__middle-section__price","ui-organisms-card-r123-featured__middle-section__address","attribute-text","attribute-text 2","attribute-text 3","attribute-value","attribute-value 2"
"Rp 489 Juta","Bekasi Utara, Bekasi","2","1","1","66 m²","30 m²"
"Rp 425 Juta","Pondok Ungu, Bekasi","2","1","1","60 m²","60 m²"
"Rp 669 Juta","Jatisampurna, Bekasi","3","2","1","50 m²","60 m²"
"Rp 800 Juta","Galaxy, Bekasi","3","2","","92 m²","82 m²"
"Rp 410 Juta","Tarumajaya, Bekasi","2","1","1","72 m²","45 m²"
"Rp 1,28 Miliar","Jati Asih, Bekasi","3","3","","60 m²","110 m²"
"Rp 735 Juta","Jatibening, Bekasi","2","1","1","84 m²","47 m²"
"Rp 990 Juta","Cibubur, Bekasi","3","2","2","95 m²","60 m²"
"Rp 455 Juta","Mustikajaya, Bekasi","2","1","1","70 m²","41 m²"
"Rp 1,95 Miliar","Bekasi Barat, Bekasi","7","2","1","164 m²","156 m²"
"Rp 725 Juta","Bekasi Utara, Bekasi","3","2","","80 m²","121 m²"
"Rp 1,65 Miliar","Jatisampurna, Bekasi","4","3","2","165 m²","180 m²"
"Rp 723 Juta","Kaliabang, Bekasi","3","2","1","80 m²","121 m²"
"Rp 1 Miliar","Rawalumbu, Bekasi","4","2","2","150 m²","196 m²"
"Rp 2,9 Miliar","Bekasi Utara, Bekasi","4","3","","153 m²",""
"Rp 345 Juta","Tambun Utara, Bekasi","3","1","1","60 m²","38 m²"
"Rp 1,18 Miliar","Jatisampurna, Bekasi","3","3","2","84 m²","77 m²"
"Rp 679 Juta","Jati Asih, Bekasi","2","1","1","63 m²","45 m²"
"Rp 3,7 Miliar","Jatisampurna, Bekasi","4","3","","170 m²","138 m²"
"Rp 2,5 Miliar","Jatisampurna, Bekasi","4","3","","104 m²","124 m²"
"Rp 2,8 Miliar","Jatisampurna, Bekasi","4","3","","114 m²","132 m²"
"Rp 3,8 Miliar","Jatiwaringin, Bekasi","3","2","2","162 m²","184 m²"
"Rp 440 Juta","Setu, Bekasi","2","1","","60 m²","42 m²"
