km-tidur,km-mandi,garasi,bangunan,tanah,lokasi,harga
5,5,2,700.0,437.0,Jakarta,4900000000
3,3,4,275.0,375.0,Jakarta,4900000000
6,2,0,560.0,812.0,Jakarta,26000000000
5,5,3,1050.0,625.0,Jakarta,59000000000
13,17,0,300.0,119.0,Jakarta,4500000000
4,2,1,180.0,100.0,Jakarta,2750000000
4,4,0,450.0,330.0,Jakarta,27500000000
12,11,2,336.0,136.0,Jakarta,5500000000
3,3,1,100.0,67.0,Jakarta,1670000000
2,1,1,50.0,74.0,Jakarta,11843707482
4,4,0,550.0,200.0,Jakarta,8200000000
4,3,0,300.0,218.0,Jakarta,6900000000
3,2,0,180.0,112.0,Jakarta,3350000000
45,4,0,400.0,310.0,Jakarta,22000000000
5,3,0,400.0,600.0,Jakarta,18500000000
5,2,1,150.0,200.0,Jakarta,4600000000
3,3,0,189.0,84.0,Jakarta,1850000000
4,3,0,200.0,120.0,Jakarta,3350000000
4,3,2,200.0,144.0,Jakarta,4000000000
3,3,1,165.0,128.0,Jakarta,3500000000
3,3,0,77.0,73.0,Jakarta,1000000000
3,2,1,72.0,91.0,Jakarta,1800000000
4,3,2,550.0,374.0,Jakarta,12000000000
6,4,3,200.0,150.0,Jakarta,3200000000
4,3,1,220.0,120.0,Jakarta,2500000000
8,4,2,557.0,592.0,Jakarta,8500000000
3,3,1,360.0,153.0,Jakarta,5800000000
4,4,1,260.0,126.0,Jakarta,4900000000
3,2,2,180.0,250.0,Jakarta,3500000000
5,4,0,280.0,120.0,Jakarta,6000000000
4,4,2,998.0,430.0,Jakarta,49500000000
5,4,0,500.0,467.0,Jakarta,11500000000
5,4,2,380.0,200.0,Jakarta,8250000000
4,3,0,270.0,153.0,Jakarta,4600000000
3,3,0,150.0,98.0,Jakarta,2700000000
2,2,1,180.0,88.0,Jakarta,3700000000
3,3,0,100.0,120.0,Jakarta,3200000000
5,4,0,356.0,428.0,Jakarta,6950000000
3,2,0,82.0,92.0,Jakarta,11843707482
4,3,0,350.0,378.0,Jakarta,8500000000
6,4,0,300.0,180.0,Jakarta,5300000000
5,2,1,200.0,258.0,Jakarta,7000000000
5,5,0,700.0,365.0,Jakarta,13900000000
4,3,1,200.0,200.0,Jakarta,5000000000
5,5,0,400.0,285.0,Jakarta,15000000000
5,5,3,1050.0,627.0,Jakarta,59000000000
4,3,2,120.0,104.0,Jakarta,1990000000
4,3,1,270.0,255.0,Jakarta,5700000000
5,4,2,350.0,381.0,Jakarta,5000000000
3,4,0,300.0,200.0,Jakarta,7000000000
4,3,2,1030.0,700.0,Jakarta,21000000000
3,2,0,152.0,152.0,Jakarta,3100000000
3,3,1,132.0,60.0,Jakarta,1680000000
3,3,1,220.0,165.0,Jakarta,5300000000
4,3,10,400.0,820.0,Jakarta,6000000000
7,7,0,1100.0,377.0,Jakarta,23000000000
51,30,0,800.0,227.0,Jakarta,12000000000
3,2,2,222.0,222.0,Jakarta,5400000000
5,3,2,250.0,432.0,Jakarta,13500000000
4,4,0,370.0,193.0,Jakarta,3800000000
5,3,0,350.0,300.0,Jakarta,13500000000
4,4,2,160.0,120.0,Jakarta,3350000000
4,3,2,450.0,230.0,Jakarta,8900000000
2,1,1,56.0,32.0,Jakarta,11843707482
5,5,6,700.0,950.0,Jakarta,19000000000
3,2,1,125.0,84.0,Jakarta,1900000000
9,5,2,328.0,203.0,Jakarta,5300000000
4,4,0,240.0,134.0,Jakarta,3800000000
3,5,9,784.0,707.0,Jakarta,45000000000
4,4,1,120.0,60.0,Jakarta,2300000000
8,8,12,2000.0,700.0,Jakarta,70000000000
4,4,2,160.0,113.0,Jakarta,2400000000
4,3,2,280.0,360.0,Jakarta,7700000000
2,1,0,80.0,60.0,Jakarta,1550000000
4,4,0,500.0,368.0,Jakarta,18000000000
4,2,2,353.0,517.0,Jakarta,50000000000
21,14,0,275.0,91.0,Jakarta,5500000000
4,4,0,135.0,180.0,Jakarta,4500000000
3,4,0,218.0,288.0,Jakarta,4800000000
6,6,3,700.0,631.0,Jakarta,20000000000
6,7,2,550.0,500.0,Jakarta,12900000000
4,4,0,207.0,86.0,Jakarta,3980000000
2,2,0,130.0,67.0,Jakarta,1600000000
4,3,0,300.0,300.0,Jakarta,11000000000
4,3,0,610.0,250.0,Jakarta,12800000000
3,3,1,130.0,60.0,Jakarta,1990000000
3,3,0,135.0,80.0,Jakarta,1450000000
3,2,1,100.0,57.0,Jakarta,1750000000
3,2,0,150.0,90.0,Jakarta,2800000000
4,3,1,144.0,126.0,Jakarta,2400000000
2,2,1,63.0,40.0,Jakarta,11843707482
2,2,1,60.0,85.0,Jakarta,1700000000
5,4,0,120.0,120.0,Jakarta,3500000000
3,3,0,163.0,120.0,Jakarta,4800000000
5,5,1,700.0,270.0,Jakarta,10000000000
4,3,6,400.0,1400.0,Jakarta,18000000000
4,3,0,240.0,136.0,Jakarta,2550000000
6,5,0,645.0,265.0,Jakarta,6900000000
4,3,2,400.0,200.0,Jakarta,5000000000
3,2,0,400.0,450.0,Jakarta,20500000000
4,3,2,350.0,120.0,Jakarta,6000000000
4,5,3,300.0,250.0,Jakarta,8800000000
4,3,2,550.0,460.0,Jakarta,13000000000
2,2,1,56.0,30.0,Jakarta,11843707482
4,4,1,175.0,99.0,Jakarta,3500000000
2,1,1,36.0,60.0,Jakarta,11843707482
5,3,2,400.0,231.0,Jakarta,9850000000
4,3,2,430.0,360.0,Jakarta,17000000000
4,4,2,290.0,300.0,Jakarta,10500000000
4,3,1,630.0,540.0,Jakarta,15500000000
4,3,2,200.0,552.0,Jakarta,9500000000
4,3,0,209.0,173.0,Jakarta,2350000000
4,3,1,197.0,111.0,Jakarta,2570000000
5,4,2,950.0,390.0,Jakarta,12000000000
4,3,2,150.0,150.0,Jakarta,3250000000
3,3,1,74.0,69.0,Jakarta,1550000000
2,1,0,33.0,21.0,Jakarta,11843707482
3,3,0,270.0,255.0,Jakarta,5700000000
4,3,2,150.0,123.0,Jakarta,4000000000
5,3,1,250.0,100.0,Jakarta,1200000000
4,4,0,630.0,230.0,Jakarta,12500000000
4,3,4,1030.0,700.0,Jakarta,21000000000
4,3,2,183.0,165.0,Jakarta,4400000000
3,3,0,400.0,200.0,Jakarta,5600000000
5,4,2,250.0,126.0,Jakarta,3000000000
3,3,2,130.0,96.0,Jakarta,1300000000
3,3,2,170.0,151.0,Jakarta,1750000000
4,3,1,250.0,180.0,Jakarta,4000000000
4,3,2,400.0,144.0,Jakarta,6500000000
4,4,2,204.0,108.0,Jakarta,2500000000
4,3,3,400.0,1320.0,Jakarta,23200000000
4,2,0,132.0,163.0,Jakarta,3400000000
4,4,2,200.0,203.0,Jakarta,5000000000
6,6,0,839.0,785.0,Jakarta,25000000000
5,3,1,300.0,376.0,Jakarta,9000000000
6,4,2,488.0,500.0,Jakarta,16000000000
4,2,2,181.0,120.0,Jakarta,3550000000
5,4,0,500.0,601.0,Jakarta,28500000000
4,3,1,210.0,122.0,Jakarta,5500000000
3,2,0,142.0,100.0,Jakarta,3100000000
3,2,0,450.0,230.0,Jakarta,11000000000
5,3,4,221.0,144.0,Jakarta,3900000000
3,3,0,200.0,75.0,Jakarta,3650000000
4,2,2,190.0,350.0,Jakarta,4990000000
