km-tidur,km-mandi,garasi,bangunan,tanah,lokasi,umr,jlh-pdk,harga
5,5,2,142,127,Jakarta,46411089,11249820,3650000000
5,4,4,550,500,Jakarta,46411090,11249821,15000000000
5,5,2,850,1900,Jakarta,46411091,11249822,1.5E+11
5,4,0,250,320,Jakarta,46411092,11249823,8300000000
5,4,2,250,200,Jakarta,46411093,11249824,6800000000
5,5,2,200,552,Jakarta,46411094,11249825,9500000000
5,4,1,360,207,Jakarta,46411095,11249826,8700000000
5,3,0,600,315,Jakarta,46411096,11249827,9900000000
5,2,0,500,449,Jakarta,46411097,11249828,10900000000
5,4,0,800,895,Jakarta,46411098,11249829,32000000000
5,4,2,350,120,Jakarta,46411099,11249830,6000000000
5,3,2,370,250,Jakarta,46411100,11249831,8000000000
5,7,2,300,268,Jakarta,46411101,11249832,15000000000
5,6,5,458,938,Jakarta,46411102,11249833,60000000000
5,5,1,150,200,Jakarta,46411103,11249834,10500000000
5,5,2,250,126,Jakarta,46411104,11249835,3000000000
5,4,0,140,77,Jakarta,46411105,11249836,1700000000
5,4,2,230,92,Jakarta,46411106,11249837,2900000000
5,4,2,150,105,Jakarta,46411107,11249838,2550000000
5,5,1,220,120,Jakarta,46411108,11249839,2500000000
5,5,1,130,77,Jakarta,46411109,11249840,1520000000
5,4,0,1200,360,Jakarta,46411110,11249841,29000000000
5,4,1,130,120,Jakarta,46411111,11249842,4000000000
5,3,1,200,160,Jakarta,46411112,11249843,5700000000
5,4,1,220,160,Jakarta,46411113,11249844,7000000000
5,5,6,1638,676,Jakarta,46411114,11249845,17000000000
5,4,0,1800,1020,Jakarta,46411115,11249846,20500000000
5,5,0,275,91,Jakarta,46411116,11249847,5350000000
5,5,2,142,100,Jakarta,46411117,11249848,3200000000
5,4,1,650,230,Jakarta,46411118,11249849,13400000000
5,4,0,275,91,Jakarta,46411119,11249850,5350000000
5,5,2,165,112,Jakarta,46411120,11249851,2950000000
5,6,2,336,136,Jakarta,46411121,11249852,5500000000
5,6,1,148,64,Jakarta,46411122,11249853,2400000000
5,4,2,245,105,Jakarta,46411123,11249854,3590000000
5,4,0,135,80,Jakarta,46411124,11249855,1450000000
5,5,2,250,120,Jakarta,46411125,11249856,3250000000
5,3,2,160,150,Jakarta,46411126,11249857,5500000000
5,2,0,120,90,Jakarta,46411127,11249858,3100000000
5,5,0,168,112,Jakarta,46411128,11249859,2950000000
5,4,0,132,60,Jakarta,46411129,11249860,1490000000
5,4,0,336,136,Jakarta,46411130,11249861,5500000000
5,5,0,360,150,Jakarta,46411131,11249862,5000000000
5,4,0,225,225,Jakarta,46411132,11249863,5170000000
5,5,0,132,64,Jakarta,46411133,11249864,2400000000
5,5,0,275,105,Jakarta,46411134,11249865,3590000000
5,5,2,250,432,Jakarta,46411135,11249866,13500000000
